Ronda;Fecha;Local;Vistante;Goles Local;Goles Visitante;Total Goles;Resultado
22;2024-01-27 00:00:00;Las Palmas;Real Madrid;1;2;3;Away
22;2024-01-27 00:00:00;Real Sociedad;Rayo Vallecano;0;0;0;Tie
22;2024-01-26 00:00:00;Almeria;Alaves;0;3;3;Away
21;2024-01-22 00:00:00;Granada CF;Atl. Madrid;0;1;1;Away
21;2024-01-21 00:00:00;Girona;Sevilla;5;1;6;Home
21;2024-01-21 00:00:00;Betis;Barcelona;2;4;6;Away
21;2024-01-21 00:00:00;Real Madrid;Almeria;3;2;5;Home
21;2024-01-21 00:00:00;Osasuna;Getafe;3;2;5;Home
21;2024-01-20 00:00:00;Celta Vigo;Real Sociedad;0;1;1;Away
21;2024-01-20 00:00:00;Valencia;Ath Bilbao;1;0;1;Home
21;2024-01-20 00:00:00;Villarreal;Mallorca;1;1;2;Tie
21;2024-01-20 00:00:00;Rayo Vallecano;Las Palmas;0;2;2;Away
21;2024-01-19 00:00:00;Alaves;Cadiz CF;1;0;1;Home
20;2024-01-14 00:00:00;Cadiz CF;Valencia;1;4;5;Away
20;2024-01-14 00:00:00;Almeria;Girona;0;0;0;Tie
20;2024-01-13 00:00:00;Betis;Granada CF;1;0;1;Home
20;2024-01-13 00:00:00;Ath Bilbao;Real Sociedad;2;1;3;Home
20;2024-01-13 00:00:00;Mallorca;Celta Vigo;1;1;2;Tie
20;2024-01-13 00:00:00;Las Palmas;Villarreal;3;0;3;Home
20;2024-01-12 00:00:00;Sevilla;Alaves;2;3;5;Away
19;2024-01-04 00:00:00;Las Palmas;Barcelona;1;2;3;Away
19;2024-01-04 00:00:00;Sevilla;Ath Bilbao;0;2;2;Away
19;2024-01-04 00:00:00;Osasuna;Almeria;1;0;1;Home
19;2024-01-03 00:00:00;Girona;Atl. Madrid;4;3;7;Home
19;2024-01-03 00:00:00;Celta Vigo;Betis;2;1;3;Home
19;2024-01-03 00:00:00;Real Madrid;Mallorca;1;0;1;Home
19;2024-01-03 00:00:00;Granada CF;Cadiz CF;2;0;2;Home
19;2024-01-02 00:00:00;Valencia;Villarreal;3;1;4;Home
19;2024-01-02 00:00:00;Real Sociedad;Alaves;1;1;2;Tie
19;2024-01-02 00:00:00;Getafe;Rayo Vallecano;0;2;2;Away
4;2023-12-23 00:00:00;Atl. Madrid;Sevilla;1;0;1;Home
18;2023-12-21 00:00:00;Alaves;Real Madrid;0;1;1;Away
18;2023-12-21 00:00:00;Mallorca;Osasuna;3;2;5;Home
18;2023-12-21 00:00:00;Betis;Girona;1;1;2;Tie
18;2023-12-21 00:00:00;Cadiz CF;Real Sociedad;0;0;0;Tie
18;2023-12-20 00:00:00;Ath Bilbao;Las Palmas;1;0;1;Home
18;2023-12-20 00:00:00;Villarreal;Celta Vigo;3;2;5;Home
18;2023-12-20 00:00:00;Barcelona;Almeria;3;2;5;Home
18;2023-12-19 00:00:00;Atl. Madrid;Getafe;3;3;6;Tie
18;2023-12-19 00:00:00;Granada CF;Sevilla;0;3;3;Away
18;2023-12-19 00:00:00;Rayo Vallecano;Valencia;0;1;1;Away
17;2023-12-18 00:00:00;Girona;Alaves;3;0;3;Home
17;2023-12-17 00:00:00;Real Madrid;Villarreal;4;1;5;Home
17;2023-12-17 00:00:00;Las Palmas;Cadiz CF;1;1;2;Tie
17;2023-12-17 00:00:00;Real Sociedad;Betis;0;0;0;Tie
17;2023-12-17 00:00:00;Almeria;Mallorca;0;0;0;Tie
17;2023-12-16 00:00:00;Valencia;Barcelona;1;1;2;Tie
17;2023-12-16 00:00:00;Sevilla;Getafe;0;3;3;Away
17;2023-12-16 00:00:00;Ath Bilbao;Atl. Madrid;2;0;2;Home
17;2023-12-16 00:00:00;Celta Vigo;Granada CF;1;0;1;Home
17;2023-12-15 00:00:00;Osasuna;Rayo Vallecano;1;0;1;Home
16;2023-12-11 00:00:00;Granada CF;Ath Bilbao;1;1;2;Tie
16;2023-12-11 00:00:00;Rayo Vallecano;Celta Vigo;0;0;0;Tie
16;2023-12-10 00:00:00;Barcelona;Girona;2;4;6;Away
16;2023-12-10 00:00:00;Cadiz CF;Osasuna;1;1;2;Tie
16;2023-12-10 00:00:00;Atl. Madrid;Almeria;2;1;3;Home
16;2023-12-09 00:00:00;Mallorca;Sevilla;1;0;1;Home
16;2023-12-09 00:00:00;Villarreal;Real Sociedad;0;3;3;Away
16;2023-12-09 00:00:00;Betis;Real Madrid;1;1;2;Tie
16;2023-12-09 00:00:00;Alaves;Las Palmas;0;1;1;Away
16;2023-12-08 00:00:00;Getafe;Valencia;1;0;1;Home
15;2023-12-04 00:00:00;Celta Vigo;Cadiz CF;1;1;2;Tie
15;2023-12-03 00:00:00;Barcelona;Atl. Madrid;1;0;1;Home
15;2023-12-03 00:00:00;Sevilla;Villarreal;1;1;2;Tie
15;2023-12-03 00:00:00;Almeria;Betis;0;0;0;Tie
15;2023-12-03 00:00:00;Mallorca;Alaves;0;0;0;Tie
15;2023-12-02 00:00:00;Osasuna;Real Sociedad;1;1;2;Tie
15;2023-12-02 00:00:00;Real Madrid;Granada CF;2;0;2;Home
15;2023-12-02 00:00:00;Ath Bilbao;Rayo Vallecano;4;0;4;Home
15;2023-12-02 00:00:00;Girona;Valencia;2;1;3;Home
15;2023-12-01 00:00:00;Las Palmas;Getafe;2;0;2;Home
13;2023-11-29 00:00:00;Mallorca;Cadiz CF;1;1;2;Tie
14;2023-11-27 00:00:00;Girona;Ath Bilbao;1;1;2;Tie
14;2023-11-26 00:00:00;Betis;Las Palmas;1;0;1;Home
14;2023-11-26 00:00:00;Cadiz CF;Real Madrid;0;3;3;Away
14;2023-11-26 00:00:00;Real Sociedad;Sevilla;2;1;3;Home
